Query,Position,YouTube Videos,Other Videos
Produits de soins de la peau,1,0.0,0.0
Produits de soins de la peau,2,0.0,0.0
Produits de soins de la peau,3,0.0,0.0
Produits de soins de la peau,4,0.0,1.0
Produits de soins de la peau,5,0.0,1.0
Produits de soins de la peau,6,0.0,0.0
Produits de soins de la peau,7,0.0,0.0
Produits de soins de la peau,8,0.0,0.0
Produits de soins de la peau,9,0.0,0.0
Produits de soins de la peau,10,0.0,0.0
Produits de soins de la peau,11,0.0,1.0
Produits de soins de la peau,12,0.0,0.0
Produits de soins de la peau,13,0.0,0.0
Produits de soins de la peau,14,0.0,0.0
Produits de soins de la peau,15,0.0,0.0
Produits de soins de la peau,16,0.0,0.0
Produits de soins de la peau,17,0.0,0.0
Produits de soins de la peau,18,0.0,0.0
Produits de soins de la peau,19,0.0,0.0
Produits de soins de la peau,20,0.0,0.0
Produits de soins de la peau,21,0.0,0.0
Produits de soins de la peau,22,0.0,0.0
Produits de soins de la peau,23,0.0,0.0
Produits de soins de la peau,24,0.0,0.0
Produits de soins de la peau,25,0.0,1.0
Produits de soins de la peau,26,0.0,0.0
Produits de soins de la peau,27,0.0,0.0
Produits de soins de la peau,28,0.0,1.0
Produits de soins de la peau,29,0.0,0.0
Produits de soins de la peau,30,1.0,0.0
Produits de soins de la peau,31,0.0,0.0
Produits de soins de la peau,32,0.0,0.0
Produits de soins de la peau,33,0.0,0.0
Produits de soins de la peau,34,0.0,0.0
Produits de soins de la peau,35,0.0,0.0
Produits de soins de la peau,36,0.0,0.0
Produits de soins de la peau,37,1.0,0.0
Produits de soins de la peau,38,3.0,0.0
Produits de soins de la peau,39,0.0,0.0
Produits de soins de la peau,40,0.0,0.0
Produits de soins de la peau,41,,
Produits de soins de la peau,42,,
Produits de soins de la peau,43,,
Produits de soins de la peau,44,,
Produits de soins de la peau,45,,
Produits de soins de la peau,46,,
Produits de soins de la peau,47,,
Produits de soins de la peau,48,,
Marques de maquillage,1,0.0,0.0
Marques de maquillage,2,0.0,0.0
Marques de maquillage,3,0.0,1.0
Marques de maquillage,4,0.0,0.0
Marques de maquillage,5,0.0,0.0
Marques de maquillage,6,0.0,0.0
Marques de maquillage,7,0.0,1.0
Marques de maquillage,8,0.0,0.0
Marques de maquillage,9,0.0,0.0
Marques de maquillage,10,0.0,0.0
Marques de maquillage,11,0.0,0.0
Marques de maquillage,12,0.0,1.0
Marques de maquillage,13,0.0,0.0
Marques de maquillage,14,0.0,1.0
Marques de maquillage,15,0.0,0.0
Marques de maquillage,16,0.0,0.0
Marques de maquillage,17,0.0,0.0
Marques de maquillage,18,0.0,0.0
Marques de maquillage,19,0.0,0.0
Marques de maquillage,20,0.0,0.0
Marques de maquillage,21,0.0,0.0
Marques de maquillage,22,0.0,1.0
Marques de maquillage,23,0.0,0.0
Marques de maquillage,24,0.0,0.0
Marques de maquillage,25,0.0,1.0
Marques de maquillage,26,0.0,1.0
Marques de maquillage,27,0.0,0.0
Marques de maquillage,28,1.0,0.0
Marques de maquillage,29,0.0,0.0
Marques de maquillage,30,0.0,0.0
Marques de maquillage,31,0.0,1.0
Marques de maquillage,32,0.0,0.0
Marques de maquillage,33,0.0,0.0
Marques de maquillage,34,0.0,0.0
Marques de maquillage,35,0.0,0.0
Marques de maquillage,36,0.0,0.0
Marques de maquillage,37,0.0,0.0
Marques de maquillage,38,0.0,1.0
Marques de maquillage,39,0.0,0.0
Marques de maquillage,40,0.0,0.0
Marques de maquillage,41,0.0,0.0
Marques de maquillage,42,0.0,0.0
Marques de maquillage,43,0.0,0.0
Marques de maquillage,44,0.0,0.0
Marques de maquillage,45,0.0,1.0
Marques de maquillage,46,0.0,0.0
Marques de maquillage,47,0.0,1.0
Marques de maquillage,48,0.0,0.0
Marques de maquillage,49,0.0,1.0
Cosmétiques de luxe,1,0.0,1.0
Cosmétiques de luxe,2,0.0,0.0
Cosmétiques de luxe,3,0.0,0.0
Cosmétiques de luxe,4,0.0,2.0
Cosmétiques de luxe,5,0.0,0.0
Cosmétiques de luxe,6,0.0,0.0
Cosmétiques de luxe,7,0.0,0.0
Cosmétiques de luxe,8,1.0,0.0
Cosmétiques de luxe,9,0.0,0.0
Cosmétiques de luxe,10,0.0,0.0
Cosmétiques de luxe,11,0.0,1.0
Cosmétiques de luxe,12,0.0,1.0
Cosmétiques de luxe,13,0.0,1.0
Cosmétiques de luxe,14,0.0,0.0
Cosmétiques de luxe,15,0.0,0.0
Cosmétiques de luxe,16,0.0,0.0
Cosmétiques de luxe,17,0.0,0.0
Cosmétiques de luxe,18,0.0,0.0
Cosmétiques de luxe,19,0.0,0.0
Cosmétiques de luxe,20,0.0,0.0
Cosmétiques de luxe,21,0.0,0.0
Cosmétiques de luxe,22,0.0,1.0
Cosmétiques de luxe,23,0.0,1.0
Cosmétiques de luxe,24,0.0,0.0
Cosmétiques de luxe,25,0.0,0.0
Cosmétiques de luxe,26,1.0,0.0
Cosmétiques de luxe,27,0.0,1.0
Cosmétiques de luxe,28,0.0,1.0
Cosmétiques de luxe,29,0.0,0.0
Cosmétiques de luxe,30,0.0,0.0
Cosmétiques de luxe,31,0.0,0.0
Cosmétiques de luxe,32,0.0,0.0
Cosmétiques de luxe,33,0.0,0.0
Cosmétiques de luxe,34,0.0,0.0
Cosmétiques de luxe,35,0.0,0.0
Cosmétiques de luxe,36,0.0,0.0
Cosmétiques de luxe,37,0.0,0.0
Cosmétiques de luxe,38,0.0,0.0
Cosmétiques de luxe,39,0.0,0.0
Cosmétiques de luxe,40,0.0,1.0
Cosmétiques de luxe,41,0.0,0.0
Cosmétiques de luxe,42,0.0,0.0
Cosmétiques de luxe,43,0.0,0.0
Cosmétiques de luxe,44,0.0,0.0
Cosmétiques de luxe,45,0.0,0.0
Cosmétiques de luxe,46,0.0,0.0
Cosmétiques de luxe,47,0.0,1.0
Cosmétiques de luxe,48,0.0,0.0
Cosmétiques de luxe,49,,
Cosmétiques de luxe,50,,
Soins de la peau végétaliens,1,0.0,0.0
Soins de la peau végétaliens,2,0.0,0.0
Soins de la peau végétaliens,3,1.0,0.0
Soins de la peau végétaliens,4,0.0,1.0
Soins de la peau végétaliens,5,0.0,0.0
Soins de la peau végétaliens,6,0.0,0.0
Soins de la peau végétaliens,7,0.0,0.0
Soins de la peau végétaliens,8,0.0,1.0
Soins de la peau végétaliens,9,0.0,0.0
Soins de la peau végétaliens,10,0.0,0.0
Soins de la peau végétaliens,11,0.0,0.0
Soins de la peau végétaliens,12,0.0,0.0
Soins de la peau végétaliens,13,0.0,0.0
Soins de la peau végétaliens,14,0.0,1.0
Soins de la peau végétaliens,15,0.0,0.0
Soins de la peau végétaliens,16,0.0,0.0
Soins de la peau végétaliens,17,1.0,0.0
Soins de la peau végétaliens,18,1.0,0.0
Soins de la peau végétaliens,19,0.0,0.0
Soins de la peau végétaliens,20,0.0,0.0
Soins de la peau végétaliens,21,,
Soins de la peau végétaliens,22,0.0,1.0
Soins de la peau végétaliens,23,0.0,0.0
Soins de la peau végétaliens,24,0.0,0.0
Soins de la peau végétaliens,25,0.0,0.0
Soins de la peau végétaliens,26,0.0,1.0
Soins de la peau végétaliens,27,0.0,1.0
Soins de la peau végétaliens,28,0.0,0.0
Soins de la peau végétaliens,29,0.0,0.0
Soins de la peau végétaliens,30,0.0,0.0
Soins de la peau végétaliens,31,0.0,0.0
Soins de la peau végétaliens,32,0.0,0.0
Soins de la peau végétaliens,33,0.0,0.0
Soins de la peau végétaliens,34,0.0,0.0
Soins de la peau végétaliens,35,0.0,0.0
Soins de la peau végétaliens,36,0.0,0.0
