Query,Position,YouTube Videos,Other Videos
Bodybuilding,1,0.0,0.0
Bodybuilding,2,1.0,0.0
Bodybuilding,3,0.0,1.0
Bodybuilding,4,0.0,0.0
Bodybuilding,5,0.0,0.0
Bodybuilding,6,0.0,0.0
Bodybuilding,7,0.0,0.0
Bodybuilding,8,0.0,1.0
Bodybuilding,9,0.0,0.0
Bodybuilding,10,0.0,1.0
Bodybuilding,11,0.0,1.0
Bodybuilding,12,0.0,0.0
Bodybuilding,13,0.0,0.0
Bodybuilding,14,0.0,1.0
Bodybuilding,15,0.0,0.0
Bodybuilding,16,0.0,1.0
Bodybuilding,17,0.0,1.0
Bodybuilding,18,1.0,0.0
Bodybuilding,19,1.0,0.0
Bodybuilding,20,0.0,1.0
Bodybuilding,21,0.0,0.0
Bodybuilding,22,0.0,0.0
Bodybuilding,23,1.0,0.0
Bodybuilding,24,0.0,0.0
Bodybuilding,25,0.0,1.0
Bodybuilding,26,,
Bodybuilding,27,,
Bodybuilding,28,0.0,1.0
Bodybuilding,29,0.0,0.0
Bodybuilding,30,0.0,0.0
Bodybuilding,31,0.0,1.0
Bodybuilding,32,0.0,0.0
Bodybuilding,33,0.0,0.0
Bodybuilding,34,0.0,0.0
Bodybuilding,35,0.0,1.0
Bodybuilding,36,0.0,0.0
Bodybuilding,37,0.0,0.0
Bodybuilding,38,0.0,0.0
Bodybuilding,39,0.0,0.0
Bodybuilding,40,,
Bodybuilding,41,0.0,0.0
Bodybuilding,42,0.0,0.0
Bodybuilding,43,0.0,0.0
Bodybuilding,44,0.0,0.0
Bodybuilding,45,0.0,0.0
Bodybuilding,46,0.0,0.0
Bodybuilding,47,0.0,0.0
Bodybuilding,48,0.0,1.0
Exercices de bodybuilding,1,0.0,0.0
Exercices de bodybuilding,2,0.0,0.0
Exercices de bodybuilding,3,0.0,0.0
Exercices de bodybuilding,4,0.0,0.0
Exercices de bodybuilding,5,0.0,0.0
Exercices de bodybuilding,6,0.0,0.0
Exercices de bodybuilding,7,1.0,0.0
Exercices de bodybuilding,8,0.0,0.0
Exercices de bodybuilding,9,1.0,0.0
Exercices de bodybuilding,10,0.0,0.0
Exercices de bodybuilding,11,0.0,0.0
Exercices de bodybuilding,12,0.0,0.0
Exercices de bodybuilding,13,0.0,0.0
Exercices de bodybuilding,14,0.0,1.0
Exercices de bodybuilding,15,0.0,1.0
Exercices de bodybuilding,16,0.0,1.0
Exercices de bodybuilding,17,0.0,0.0
Exercices de bodybuilding,18,0.0,1.0
Exercices de bodybuilding,19,0.0,0.0
Exercices de bodybuilding,20,0.0,0.0
Exercices de bodybuilding,21,0.0,0.0
Exercices de bodybuilding,22,0.0,1.0
Exercices de bodybuilding,23,0.0,0.0
Exercices de bodybuilding,24,0.0,0.0
Exercices de bodybuilding,25,0.0,0.0
Exercices de bodybuilding,26,0.0,0.0
Exercices de bodybuilding,27,1.0,0.0
Exercices de bodybuilding,28,0.0,1.0
Exercices de bodybuilding,29,0.0,0.0
Exercices de bodybuilding,30,0.0,0.0
Exercices de bodybuilding,31,0.0,0.0
Exercices de bodybuilding,32,0.0,0.0
Exercices de bodybuilding,33,0.0,0.0
Exercices de bodybuilding,34,27.0,0.0
Exercices de bodybuilding,35,0.0,0.0
Exercices de bodybuilding,36,0.0,1.0
Exercices de bodybuilding,37,6.0,0.0
Exercices de bodybuilding,38,0.0,0.0
Exercices de bodybuilding,39,0.0,0.0
Exercices de bodybuilding,40,0.0,0.0
Exercices de bodybuilding,41,0.0,0.0
Exercices de bodybuilding,42,0.0,0.0
Régime de bodybuilding,1,0.0,0.0
Régime de bodybuilding,2,0.0,0.0
Régime de bodybuilding,3,0.0,0.0
Régime de bodybuilding,4,0.0,1.0
Régime de bodybuilding,5,0.0,1.0
Régime de bodybuilding,6,0.0,1.0
Régime de bodybuilding,7,0.0,0.0
Régime de bodybuilding,8,0.0,0.0
Régime de bodybuilding,9,1.0,0.0
Régime de bodybuilding,10,0.0,0.0
Régime de bodybuilding,11,0.0,0.0
Régime de bodybuilding,12,0.0,0.0
Régime de bodybuilding,13,0.0,1.0
Régime de bodybuilding,14,0.0,1.0
Régime de bodybuilding,15,2.0,0.0
Régime de bodybuilding,16,0.0,1.0
Régime de bodybuilding,17,0.0,0.0
Régime de bodybuilding,18,0.0,1.0
Régime de bodybuilding,19,0.0,0.0
Régime de bodybuilding,20,0.0,0.0
Régime de bodybuilding,21,0.0,0.0
Régime de bodybuilding,22,0.0,0.0
Régime de bodybuilding,23,0.0,0.0
Régime de bodybuilding,24,1.0,0.0
Régime de bodybuilding,25,0.0,0.0
Régime de bodybuilding,26,1.0,0.0
Régime de bodybuilding,27,0.0,0.0
Régime de bodybuilding,28,0.0,0.0
Régime de bodybuilding,29,0.0,0.0
