Query,Position,YouTube Videos,Other Videos
Recettes de cocktails,1,0.0,0.0
Recettes de cocktails,2,0.0,0.0
Recettes de cocktails,3,0.0,1.0
Recettes de cocktails,4,0.0,1.0
Recettes de cocktails,5,0.0,1.0
Recettes de cocktails,6,0.0,1.0
Recettes de cocktails,7,0.0,1.0
Recettes de cocktails,8,0.0,1.0
Recettes de cocktails,9,0.0,0.0
Recettes de cocktails,10,0.0,1.0
Recettes de cocktails,11,0.0,0.0
Recettes de cocktails,12,0.0,0.0
Recettes de cocktails,13,0.0,1.0
Recettes de cocktails,14,0.0,0.0
Recettes de cocktails,15,0.0,1.0
Recettes de cocktails,16,0.0,1.0
Recettes de cocktails,17,0.0,1.0
Recettes de cocktails,18,0.0,0.0
Recettes de cocktails,19,0.0,1.0
Recettes de cocktails,20,0.0,0.0
Recettes de cocktails,21,0.0,0.0
Recettes de cocktails,22,0.0,0.0
Recettes de cocktails,23,0.0,1.0
Recettes de cocktails,24,0.0,1.0
Recettes de cocktails,25,0.0,0.0
Recettes de cocktails,26,0.0,0.0
Recettes de cocktails,27,0.0,0.0
Recettes de cocktails,28,0.0,1.0
Recettes de cocktails,29,0.0,0.0
Recettes de cocktails,30,1.0,0.0
Recettes de cocktails,31,0.0,1.0
Recettes de cocktails,32,0.0,0.0
Recettes de cocktails,33,0.0,0.0
Recettes de cocktails,34,0.0,0.0
Recettes de cocktails,35,6.0,0.0
Recettes de cocktails,36,0.0,0.0
Recettes de cocktails,37,0.0,1.0
Recettes de cocktails,38,0.0,0.0
Recettes de cocktails,39,0.0,0.0
Recettes de cocktails,40,0.0,0.0
Recettes de cocktails,41,0.0,0.0
Recettes de cocktails,42,0.0,0.0
Recettes de cocktails,43,0.0,0.0
Recettes de cocktails,44,0.0,0.0
Recettes de cocktails,45,1.0,0.0
Recettes de cocktails,46,0.0,1.0
Recettes de cocktails,47,0.0,1.0
Cocktails classiques,1,0.0,0.0
Cocktails classiques,2,0.0,0.0
Cocktails classiques,3,1.0,0.0
Cocktails classiques,4,0.0,0.0
Cocktails classiques,5,0.0,0.0
Cocktails classiques,6,0.0,1.0
Cocktails classiques,7,0.0,0.0
Cocktails classiques,8,0.0,0.0
Cocktails classiques,9,0.0,0.0
Cocktails classiques,10,0.0,1.0
Cocktails classiques,11,0.0,0.0
Cocktails classiques,12,0.0,0.0
Cocktails classiques,13,0.0,0.0
Cocktails classiques,14,0.0,0.0
Cocktails classiques,15,0.0,0.0
Cocktails classiques,16,0.0,1.0
Cocktails classiques,17,0.0,0.0
Cocktails classiques,18,0.0,0.0
Cocktails classiques,19,0.0,0.0
Cocktails classiques,20,0.0,0.0
Cocktails classiques,21,0.0,0.0
Cocktails classiques,22,0.0,0.0
Cocktails classiques,23,0.0,1.0
Cocktails classiques,24,0.0,0.0
Cocktails classiques,25,1.0,0.0
Cocktails classiques,26,0.0,0.0
Cocktails classiques,27,0.0,1.0
Cocktails classiques,28,0.0,1.0
Cocktails classiques,29,0.0,1.0
Cocktails classiques,30,0.0,0.0
Cocktails classiques,31,0.0,1.0
Cocktails classiques,32,0.0,0.0
Cocktails classiques,33,0.0,1.0
Cocktails classiques,34,0.0,1.0
Cocktails classiques,35,0.0,0.0
Cocktails classiques,36,0.0,0.0
Cocktails classiques,37,0.0,0.0
Cocktails classiques,38,0.0,0.0
Cocktails classiques,39,0.0,0.0
Cocktails classiques,40,,
Cocktails classiques,41,0.0,0.0
Cocktails classiques,42,0.0,0.0
Cocktails classiques,43,0.0,0.0
Cocktails classiques,44,0.0,0.0
Cocktails classiques,45,0.0,0.0
Cocktails classiques,46,0.0,0.0
Cocktails classiques,47,0.0,0.0
Cocktails faciles,1,0.0,0.0
Cocktails faciles,2,0.0,0.0
Cocktails faciles,3,0.0,1.0
Cocktails faciles,4,,
Cocktails faciles,5,0.0,1.0
Cocktails faciles,6,0.0,1.0
Cocktails faciles,7,0.0,0.0
Cocktails faciles,8,0.0,1.0
Cocktails faciles,9,0.0,0.0
Cocktails faciles,10,0.0,0.0
Cocktails faciles,11,0.0,0.0
Cocktails faciles,12,0.0,0.0
Cocktails faciles,13,0.0,1.0
Cocktails faciles,14,0.0,0.0
Cocktails faciles,15,0.0,0.0
Cocktails faciles,16,0.0,0.0
