Query,Position,YouTube Videos,Other Videos
Meilleurs studios de jeu,1,0.0,0.0
Meilleurs studios de jeu,2,0.0,0.0
Meilleurs studios de jeu,3,1.0,0.0
Meilleurs studios de jeu,4,0.0,1.0
Meilleurs studios de jeu,5,0.0,0.0
Meilleurs studios de jeu,6,0.0,1.0
Meilleurs studios de jeu,7,1.0,0.0
Meilleurs studios de jeu,8,0.0,0.0
Meilleurs studios de jeu,9,0.0,1.0
Meilleurs studios de jeu,10,0.0,1.0
Meilleurs studios de jeu,11,0.0,1.0
Meilleurs studios de jeu,12,0.0,0.0
Meilleurs studios de jeu,13,0.0,0.0
Meilleurs studios de jeu,14,1.0,0.0
Meilleurs studios de jeu,15,0.0,0.0
Meilleurs studios de jeu,16,0.0,1.0
Meilleurs studios de jeu,17,0.0,1.0
Meilleurs studios de jeu,18,0.0,0.0
Meilleurs studios de jeu,19,0.0,1.0
Meilleurs studios de jeu,20,0.0,1.0
Meilleurs studios de jeu,21,0.0,1.0
Meilleurs studios de jeu,22,1.0,0.0
Meilleurs studios de jeu,23,0.0,1.0
Meilleurs studios de jeu,24,1.0,0.0
Meilleurs studios de jeu,25,0.0,1.0
Meilleurs studios de jeu,26,0.0,1.0
Meilleurs studios de jeu,27,0.0,1.0
Meilleurs studios de jeu,28,1.0,0.0
Meilleurs studios de jeu,29,0.0,0.0
Meilleurs studios de jeu,30,0.0,1.0
Meilleurs studios de jeu,31,0.0,1.0
Meilleurs studios de jeu,32,1.0,0.0
Meilleurs studios de jeu,33,0.0,0.0
Meilleurs studios de jeu,34,0.0,0.0
Meilleurs studios de jeu,35,0.0,0.0
Meilleurs studios de jeu,36,0.0,0.0
Meilleurs studios de jeu,37,0.0,0.0
Meilleurs studios de jeu,38,0.0,1.0
Meilleurs studios de jeu,39,0.0,0.0
Meilleurs studios de jeu,40,0.0,1.0
Meilleurs studios de jeu,41,0.0,0.0
Meilleurs studios de jeu,42,1.0,0.0
Meilleurs studios de jeu,43,0.0,0.0
Meilleurs studios de jeu,44,1.0,0.0
Meilleurs studios de jeu,45,0.0,0.0
Meilleurs studios de jeu,46,0.0,0.0
Meilleurs studios de jeu,47,0.0,0.0
Meilleurs studios de jeu,48,0.0,0.0
Évaluations de la musique de jeu,1,0.0,0.0
Évaluations de la musique de jeu,2,0.0,0.0
Évaluations de la musique de jeu,3,0.0,0.0
Évaluations de la musique de jeu,4,0.0,0.0
Évaluations de la musique de jeu,5,0.0,0.0
Évaluations de la musique de jeu,6,0.0,1.0
Évaluations de la musique de jeu,7,12.0,0.0
Évaluations de la musique de jeu,8,0.0,0.0
Évaluations de la musique de jeu,9,0.0,0.0
Évaluations de la musique de jeu,10,0.0,0.0
Évaluations de la musique de jeu,11,0.0,1.0
Évaluations de la musique de jeu,12,0.0,0.0
Évaluations de la musique de jeu,13,0.0,0.0
Évaluations de la musique de jeu,14,0.0,0.0
Évaluations de la musique de jeu,15,0.0,1.0
Évaluations de la musique de jeu,16,0.0,0.0
Évaluations de la musique de jeu,17,0.0,0.0
Évaluations de la musique de jeu,18,0.0,1.0
Évaluations de la musique de jeu,19,0.0,0.0
Évaluations de la musique de jeu,20,0.0,1.0
Évaluations de la musique de jeu,21,0.0,1.0
Évaluations de la musique de jeu,22,0.0,1.0
Évaluations de la musique de jeu,23,0.0,1.0
Évaluations de la musique de jeu,24,0.0,0.0
Évaluations de la musique de jeu,25,0.0,1.0
Évaluations de la musique de jeu,26,0.0,1.0
Évaluations de la musique de jeu,27,0.0,1.0
Évaluations de la musique de jeu,28,0.0,0.0
Évaluations de la musique de jeu,29,0.0,0.0
Évaluations de la musique de jeu,30,0.0,0.0
Évaluations de la musique de jeu,31,0.0,1.0
Évaluations de la musique de jeu,32,0.0,0.0
Évaluations de la musique de jeu,33,1.0,0.0
Évaluations de la musique de jeu,34,0.0,0.0
Évaluations de la musique de jeu,35,0.0,1.0
Évaluations de la musique de jeu,36,0.0,0.0
Évaluations de la musique de jeu,37,0.0,1.0
Évaluations de la musique de jeu,38,0.0,0.0
Évaluations de la musique de jeu,39,0.0,0.0
Évaluations de la musique de jeu,40,0.0,0.0
Évaluations de la musique de jeu,41,0.0,0.0
Évaluations de la musique de jeu,42,0.0,0.0
Évaluations de la musique de jeu,43,0.0,0.0
Évaluations de la musique de jeu,44,2.0,0.0
Évaluations de la musique de jeu,45,,
Évaluations de la musique de jeu,46,,
Évaluations de la musique de jeu,47,,
Évaluations de la musique de jeu,48,,
Évaluations de la musique de jeu,49,,
Évaluations de la conception artistique de jeu,1,0.0,1.0
Évaluations de la conception artistique de jeu,2,0.0,1.0
Évaluations de la conception artistique de jeu,3,0.0,0.0
Évaluations de la conception artistique de jeu,4,0.0,0.0
Évaluations de la conception artistique de jeu,5,0.0,1.0
Évaluations de la conception artistique de jeu,6,0.0,1.0
Évaluations de la conception artistique de jeu,7,0.0,0.0
Évaluations de la conception artistique de jeu,8,1.0,0.0
Évaluations de la conception artistique de jeu,9,0.0,0.0
Évaluations de la conception artistique de jeu,10,0.0,0.0
Évaluations de la conception artistique de jeu,11,0.0,1.0
Évaluations de la conception artistique de jeu,12,0.0,1.0
Évaluations de la conception artistique de jeu,13,0.0,1.0
Évaluations de la conception artistique de jeu,14,0.0,0.0
Évaluations de la conception artistique de jeu,15,0.0,1.0
Évaluations de la conception artistique de jeu,16,0.0,0.0
Évaluations de la conception artistique de jeu,17,0.0,1.0
Évaluations de la conception artistique de jeu,18,0.0,0.0
Évaluations de la conception artistique de jeu,19,0.0,1.0
Évaluations de la conception artistique de jeu,20,0.0,1.0
Évaluations de la conception artistique de jeu,21,0.0,0.0
Évaluations de la conception artistique de jeu,22,0.0,1.0
Évaluations de la conception artistique de jeu,23,0.0,0.0
Évaluations de la conception artistique de jeu,24,0.0,1.0
Évaluations de la conception artistique de jeu,25,0.0,1.0
Évaluations de la conception artistique de jeu,26,0.0,1.0
Évaluations de la conception artistique de jeu,27,0.0,1.0
Évaluations de la conception artistique de jeu,28,0.0,0.0
Évaluations de la conception artistique de jeu,29,0.0,0.0
Évaluations de la conception artistique de jeu,30,0.0,1.0
Évaluations de la conception artistique de jeu,31,0.0,1.0
Évaluations de la conception artistique de jeu,32,,
Évaluations de la conception artistique de jeu,33,,
Évaluations de la conception artistique de jeu,34,,
Évaluations de la conception artistique de jeu,35,,
Évaluations de la conception artistique de jeu,36,,
Évaluations de la conception artistique de jeu,37,,
Évaluations de la conception artistique de jeu,38,,
Évaluations de la conception artistique de jeu,39,,
Évaluations de la conception artistique de jeu,40,,
Évaluations de la conception artistique de jeu,41,,
Évaluations de la conception artistique de jeu,42,,
Évaluations de la conception artistique de jeu,43,,
Évaluations de la conception artistique de jeu,44,,
Évaluations de la conception artistique de jeu,45,,
Évaluations de la conception artistique de jeu,46,,
Évaluations de la conception artistique de jeu,47,,
Évaluations de la conception artistique de jeu,48,,
Évaluations de la conception artistique de jeu,49,,
Avis sur les ordinateurs portables de jeu,1,0.0,1.0
Avis sur les ordinateurs portables de jeu,2,0.0,1.0
Avis sur les ordinateurs portables de jeu,3,0.0,0.0
Avis sur les ordinateurs portables de jeu,4,0.0,0.0
Avis sur les ordinateurs portables de jeu,5,5.0,0.0
Avis sur les ordinateurs portables de jeu,6,0.0,0.0
Avis sur les ordinateurs portables de jeu,7,0.0,1.0
Avis sur les ordinateurs portables de jeu,8,0.0,0.0
Avis sur les ordinateurs portables de jeu,9,1.0,0.0
Avis sur les ordinateurs portables de jeu,10,4.0,0.0
Avis sur les ordinateurs portables de jeu,11,0.0,0.0
Avis sur les ordinateurs portables de jeu,12,0.0,0.0
Avis sur les ordinateurs portables de jeu,13,1.0,0.0
Avis sur les ordinateurs portables de jeu,14,0.0,0.0
Avis sur les ordinateurs portables de jeu,15,0.0,0.0
Avis sur les ordinateurs portables de jeu,16,3.0,0.0
Avis sur les ordinateurs portables de jeu,17,0.0,1.0
Avis sur les ordinateurs portables de jeu,18,0.0,0.0
Avis sur les ordinateurs portables de jeu,19,0.0,0.0
Avis sur les ordinateurs portables de jeu,20,0.0,0.0
Avis sur les ordinateurs portables de jeu,21,0.0,0.0
