Query,Position,YouTube Videos,Other Videos
Vente d'appareils électroménagers,1,0.0,0.0
Vente d'appareils électroménagers,2,0.0,0.0
Vente d'appareils électroménagers,3,0.0,0.0
Vente d'appareils électroménagers,4,0.0,1.0
Vente d'appareils électroménagers,5,0.0,0.0
Vente d'appareils électroménagers,6,0.0,1.0
Vente d'appareils électroménagers,7,0.0,0.0
Vente d'appareils électroménagers,8,0.0,0.0
Vente d'appareils électroménagers,9,0.0,0.0
Vente d'appareils électroménagers,10,0.0,0.0
Vente d'appareils électroménagers,11,0.0,1.0
Vente d'appareils électroménagers,12,,
Vente d'appareils électroménagers,13,0.0,1.0
Vente d'appareils électroménagers,14,0.0,0.0
Vente d'appareils électroménagers,15,0.0,0.0
Vente d'appareils électroménagers,16,0.0,0.0
Vente d'appareils électroménagers,17,0.0,0.0
Vente d'appareils électroménagers,18,0.0,1.0
Vente d'appareils électroménagers,19,1.0,0.0
Vente d'appareils électroménagers,20,0.0,0.0
Vente d'appareils électroménagers,21,0.0,1.0
Vente d'appareils électroménagers,22,0.0,0.0
Vente d'appareils électroménagers,23,0.0,1.0
Vente d'appareils électroménagers,24,0.0,0.0
Vente d'appareils électroménagers,25,0.0,0.0
Vente d'appareils électroménagers,26,0.0,0.0
Vente d'appareils électroménagers,27,0.0,1.0
Vente d'appareils électroménagers,28,0.0,0.0
Vente d'appareils électroménagers,29,0.0,0.0
Vente d'appareils électroménagers,30,0.0,0.0
Vente d'appareils électroménagers,31,0.0,1.0
Vente d'appareils électroménagers,32,0.0,0.0
Vente d'appareils électroménagers,33,0.0,0.0
Vente d'appareils électroménagers,34,0.0,0.0
Vente d'appareils électroménagers,35,0.0,1.0
Vente d'appareils électroménagers,36,0.0,1.0
Vente d'appareils électroménagers,37,0.0,0.0
Vente d'appareils électroménagers,38,0.0,0.0
Vente d'appareils électroménagers,39,0.0,0.0
Vente d'appareils électroménagers,40,0.0,1.0
Vente d'appareils électroménagers,41,0.0,0.0
Vente d'appareils électroménagers,42,0.0,0.0
Vente d'appareils électroménagers,43,0.0,1.0
Vente d'appareils électroménagers,44,0.0,0.0
Vente d'appareils électroménagers,45,0.0,0.0
Vente d'appareils électroménagers,46,0.0,0.0
Vente d'appareils électroménagers,47,0.0,0.0
Vente d'appareils électroménagers,48,0.0,0.0
Vente d'appareils électroménagers,49,0.0,0.0
Vente d'appareils électroménagers,50,0.0,0.0
Gadgets de cuisine,1,0.0,0.0
Gadgets de cuisine,2,0.0,1.0
Gadgets de cuisine,3,0.0,0.0
Gadgets de cuisine,4,0.0,0.0
Gadgets de cuisine,5,0.0,0.0
Gadgets de cuisine,6,0.0,0.0
Gadgets de cuisine,7,0.0,0.0
Gadgets de cuisine,8,0.0,0.0
Gadgets de cuisine,9,0.0,0.0
Gadgets de cuisine,10,0.0,0.0
Gadgets de cuisine,11,0.0,0.0
Gadgets de cuisine,12,0.0,1.0
Gadgets de cuisine,13,0.0,0.0
Gadgets de cuisine,14,0.0,0.0
Gadgets de cuisine,15,0.0,0.0
Gadgets de cuisine,16,0.0,1.0
Gadgets de cuisine,17,0.0,0.0
Gadgets de cuisine,18,0.0,0.0
Gadgets de cuisine,19,0.0,0.0
Gadgets de cuisine,20,0.0,0.0
Gadgets de cuisine,21,0.0,1.0
Gadgets de cuisine,22,0.0,1.0
Gadgets de cuisine,23,0.0,0.0
Gadgets de cuisine,24,0.0,0.0
Gadgets de cuisine,25,0.0,0.0
Gadgets de cuisine,26,0.0,0.0
Gadgets de cuisine,27,0.0,0.0
Gadgets de cuisine,28,0.0,1.0
Gadgets de cuisine,29,0.0,0.0
Gadgets de cuisine,30,0.0,0.0
Gadgets de cuisine,31,6.0,0.0
Gadgets de cuisine,32,0.0,0.0
Gadgets de cuisine,33,0.0,0.0
Gadgets de cuisine,34,0.0,0.0
Gadgets de cuisine,35,0.0,0.0
Gadgets de cuisine,36,0.0,0.0
Gadgets de cuisine,37,0.0,0.0
Gadgets de cuisine,38,0.0,0.0
Gadgets de cuisine,39,0.0,0.0
Gadgets de cuisine,40,0.0,1.0
Gadgets de cuisine,41,0.0,1.0
Gadgets de cuisine,42,0.0,1.0
Gadgets de cuisine,43,0.0,1.0
Gadgets de cuisine,44,0.0,0.0
Gadgets de cuisine,45,0.0,0.0
Gadgets de cuisine,46,0.0,0.0
Gadgets de cuisine,47,0.0,0.0
Gadgets de cuisine,48,0.0,1.0
Gadgets de cuisine,49,0.0,1.0
Machines à laver,1,0.0,0.0
Machines à laver,2,0.0,0.0
Machines à laver,3,0.0,0.0
Machines à laver,4,0.0,1.0
Machines à laver,5,0.0,0.0
Machines à laver,6,0.0,0.0
Machines à laver,7,0.0,0.0
Machines à laver,8,0.0,0.0
Machines à laver,9,0.0,0.0
Machines à laver,10,0.0,1.0
Machines à laver,11,0.0,1.0
Machines à laver,12,1.0,0.0
Machines à laver,13,0.0,0.0
Machines à laver,14,0.0,0.0
Machines à laver,15,0.0,0.0
Machines à laver,16,0.0,0.0
Machines à laver,17,0.0,0.0
Machines à laver,18,5.0,0.0
Machines à laver,19,0.0,1.0
Machines à laver,20,1.0,0.0
Machines à laver,21,0.0,0.0
Machines à laver,22,0.0,0.0
Machines à laver,23,0.0,0.0
Machines à laver,24,0.0,0.0
Machines à laver,25,0.0,0.0
Machines à laver,26,0.0,0.0
Machines à laver,27,0.0,0.0
Machines à laver,28,0.0,0.0
Machines à laver,29,0.0,1.0
Machines à laver,30,0.0,0.0
Machines à laver,31,0.0,1.0
Machines à laver,32,0.0,1.0
Machines à laver,33,0.0,1.0
Machines à laver,34,0.0,0.0
Machines à laver,35,0.0,0.0
Machines à laver,36,0.0,0.0
Machines à laver,37,0.0,0.0
Machines à laver,38,1.0,0.0
Machines à laver,39,0.0,0.0
Machines à laver,40,0.0,1.0
Machines à laver,41,0.0,0.0
Machines à laver,42,0.0,0.0
Machines à laver,43,0.0,0.0
Machines à laver,44,0.0,1.0
Machines à laver,45,0.0,0.0
Machines à laver,46,0.0,0.0
Machines à laver,47,0.0,1.0
Machines à laver,48,0.0,1.0
Machines à laver,49,,
Réfrigérateurs intelligents,1,0.0,0.0
Réfrigérateurs intelligents,2,0.0,0.0
Réfrigérateurs intelligents,3,0.0,1.0
Réfrigérateurs intelligents,4,0.0,0.0
Réfrigérateurs intelligents,5,3.0,0.0
Réfrigérateurs intelligents,6,0.0,0.0
Réfrigérateurs intelligents,7,0.0,0.0
Réfrigérateurs intelligents,8,0.0,0.0
Réfrigérateurs intelligents,9,0.0,0.0
Réfrigérateurs intelligents,10,0.0,0.0
Réfrigérateurs intelligents,11,0.0,1.0
Réfrigérateurs intelligents,12,0.0,0.0
Réfrigérateurs intelligents,13,0.0,0.0
