Query,Position,YouTube Videos,Other Videos
Recettes de petit-déjeuner,1,0.0,1.0
Recettes de petit-déjeuner,2,0.0,0.0
Recettes de petit-déjeuner,3,0.0,0.0
Recettes de petit-déjeuner,4,0.0,1.0
Recettes de petit-déjeuner,5,0.0,1.0
Recettes de petit-déjeuner,6,0.0,0.0
Recettes de petit-déjeuner,7,0.0,1.0
Recettes de petit-déjeuner,8,0.0,1.0
Recettes de petit-déjeuner,9,0.0,0.0
Recettes de petit-déjeuner,10,0.0,0.0
Recettes de petit-déjeuner,11,0.0,0.0
Recettes de petit-déjeuner,12,0.0,0.0
Recettes de petit-déjeuner,13,0.0,0.0
Recettes de petit-déjeuner,14,0.0,1.0
Recettes de petit-déjeuner,15,0.0,0.0
Recettes de petit-déjeuner,16,0.0,1.0
Recettes de petit-déjeuner,17,0.0,0.0
Recettes de petit-déjeuner,18,0.0,1.0
Recettes de petit-déjeuner,19,0.0,0.0
Recettes de petit-déjeuner,20,0.0,0.0
Recettes de petit-déjeuner,21,0.0,0.0
Recettes de petit-déjeuner,22,0.0,0.0
Recettes de petit-déjeuner,23,0.0,0.0
Recettes de petit-déjeuner,24,0.0,0.0
Recettes de petit-déjeuner,25,0.0,0.0
Recettes de petit-déjeuner,26,0.0,1.0
Recettes de petit-déjeuner,27,0.0,0.0
Recettes de petit-déjeuner,28,0.0,0.0
Recettes de petit-déjeuner,29,0.0,0.0
Recettes de petit-déjeuner,30,0.0,0.0
Recettes de petit-déjeuner,31,0.0,0.0
Recettes de petit-déjeuner,32,0.0,0.0
Recettes de petit-déjeuner,33,0.0,0.0
Recettes de petit-déjeuner,34,0.0,0.0
Recettes de petit-déjeuner,35,0.0,0.0
Recettes de petit-déjeuner,36,0.0,1.0
Recettes de petit-déjeuner,37,0.0,1.0
Recettes de petit-déjeuner,38,0.0,1.0
Recettes de petit-déjeuner,39,0.0,1.0
Recettes de petit-déjeuner,40,0.0,0.0
Recettes de petit-déjeuner,41,0.0,1.0
Recettes de petit-déjeuner,42,0.0,1.0
Recettes de petit-déjeuner,43,0.0,1.0
Recettes de petit-déjeuner,44,0.0,1.0
Recettes de petit-déjeuner,45,0.0,0.0
Recettes de petit-déjeuner,46,0.0,0.0
Recettes de petit-déjeuner,47,0.0,1.0
Recettes de brunch,1,0.0,1.0
Recettes de brunch,2,0.0,1.0
Recettes de brunch,3,0.0,0.0
Recettes de brunch,4,0.0,0.0
Recettes de brunch,5,0.0,0.0
Recettes de brunch,6,0.0,1.0
Recettes de brunch,7,0.0,0.0
Recettes de brunch,8,0.0,0.0
Recettes de brunch,9,0.0,1.0
Recettes de brunch,10,0.0,0.0
Recettes de brunch,11,0.0,0.0
