Query,Position,YouTube Videos,Other Videos
Meilleurs restaurants,1,0.0,0.0
Meilleurs restaurants,2,0.0,0.0
Meilleurs restaurants,3,0.0,0.0
Meilleurs restaurants,4,0.0,0.0
Meilleurs restaurants,5,0.0,1.0
Meilleurs restaurants,6,0.0,0.0
Meilleurs restaurants,7,0.0,0.0
Meilleurs restaurants,8,0.0,0.0
Meilleurs restaurants,9,0.0,1.0
Meilleurs restaurants,10,0.0,0.0
Meilleurs restaurants,11,0.0,0.0
Meilleurs restaurants,12,0.0,0.0
Meilleurs restaurants,13,1.0,0.0
Meilleurs restaurants,14,0.0,0.0
Meilleurs restaurants,15,0.0,0.0
Meilleurs restaurants,16,0.0,0.0
Meilleurs restaurants,17,0.0,1.0
Meilleurs restaurants,18,0.0,0.0
Meilleurs restaurants,19,0.0,0.0
Meilleurs restaurants,20,0.0,0.0
Meilleurs restaurants,21,0.0,0.0
Meilleurs restaurants,22,0.0,0.0
Meilleurs restaurants,23,0.0,0.0
Meilleurs restaurants,24,0.0,0.0
Meilleurs restaurants,25,0.0,0.0
Meilleurs restaurants,26,0.0,1.0
Meilleurs restaurants,27,0.0,0.0
Meilleurs restaurants,28,0.0,1.0
Meilleurs restaurants,29,0.0,0.0
Meilleurs restaurants,30,0.0,0.0
Meilleurs restaurants,31,0.0,0.0
Meilleurs restaurants,32,0.0,0.0
Meilleurs restaurants,33,0.0,0.0
Meilleurs restaurants,34,0.0,0.0
Meilleurs restaurants,35,0.0,1.0
Meilleurs restaurants,36,0.0,1.0
Meilleurs restaurants,37,0.0,0.0
Meilleurs restaurants,38,0.0,1.0
Meilleurs restaurants,39,0.0,0.0
Meilleurs restaurants,40,0.0,1.0
Meilleurs restaurants,41,0.0,0.0
Meilleurs restaurants,42,0.0,0.0
Meilleurs restaurants,43,0.0,0.0
Meilleurs restaurants,44,12.0,1.0
Meilleurs restaurants,45,0.0,1.0
Meilleurs restaurants,46,0.0,0.0
Meilleurs restaurants,47,0.0,1.0
Meilleurs restaurants,48,0.0,1.0
Meilleurs restaurants,49,0.0,0.0
Meilleures tables,1,0.0,0.0
Meilleures tables,2,0.0,0.0
Meilleures tables,3,0.0,0.0
Meilleures tables,4,0.0,1.0
Meilleures tables,5,0.0,1.0
Meilleures tables,6,0.0,1.0
Meilleures tables,7,0.0,0.0
Meilleures tables,8,0.0,1.0
Meilleures tables,9,0.0,0.0
Meilleures tables,10,0.0,0.0
Meilleures tables,11,12.0,1.0
Meilleures tables,12,0.0,0.0
Meilleures tables,13,0.0,0.0
Meilleures tables,14,0.0,0.0
Meilleures tables,15,0.0,0.0
Meilleures tables,16,0.0,0.0
Meilleures tables,17,0.0,0.0
Meilleures tables,18,0.0,1.0
Meilleures tables,19,0.0,0.0
Meilleures tables,20,0.0,0.0
Meilleures tables,21,0.0,0.0
Meilleures tables,22,0.0,1.0
Meilleures tables,23,0.0,1.0
Meilleures tables,24,1.0,0.0
Meilleures tables,25,0.0,1.0
Meilleures tables,26,0.0,1.0
Meilleures tables,27,0.0,0.0
Meilleures tables,28,0.0,0.0
Meilleures tables,29,0.0,0.0
Meilleures tables,30,0.0,0.0
Meilleures tables,31,0.0,0.0
Meilleures tables,32,0.0,0.0
Meilleures tables,33,0.0,1.0
Meilleures tables,34,0.0,0.0
Meilleures tables,35,0.0,0.0
Meilleures tables,36,0.0,0.0
Meilleures tables,37,0.0,1.0
Meilleures tables,38,0.0,0.0
Meilleures tables,39,0.0,0.0
Meilleures tables,40,,
Meilleures tables,41,0.0,0.0
Meilleures tables,42,0.0,0.0
Meilleures tables,43,0.0,0.0
Meilleures tables,44,0.0,0.0
Meilleures tables,45,0.0,0.0
Meilleures tables,46,0.0,0.0
Meilleures tables,47,0.0,0.0
Meilleures tables,48,0.0,0.0
Meilleures tables,49,0.0,0.0
Meilleures tables,50,0.0,0.0
Restaurants 5 étoiles,1,0.0,0.0
Restaurants 5 étoiles,2,0.0,0.0
Restaurants 5 étoiles,3,0.0,0.0
Restaurants 5 étoiles,4,0.0,0.0
Restaurants 5 étoiles,5,0.0,1.0
Restaurants 5 étoiles,6,0.0,0.0
Restaurants 5 étoiles,7,0.0,0.0
Restaurants 5 étoiles,8,0.0,0.0
Restaurants 5 étoiles,9,0.0,1.0
Restaurants 5 étoiles,10,0.0,0.0
Restaurants 5 étoiles,11,0.0,1.0
Restaurants 5 étoiles,12,0.0,0.0
Restaurants 5 étoiles,13,,
Restaurants 5 étoiles,14,0.0,0.0
Restaurants 5 étoiles,15,0.0,0.0
Restaurants 5 étoiles,16,0.0,0.0
Restaurants 5 étoiles,17,0.0,1.0
Restaurants 5 étoiles,18,0.0,0.0
Restaurants 5 étoiles,19,0.0,0.0
Restaurants 5 étoiles,20,0.0,0.0
Restaurants 5 étoiles,21,0.0,0.0
Restaurants 5 étoiles,22,0.0,1.0
Restaurants 5 étoiles,23,0.0,1.0
Restaurants 5 étoiles,24,0.0,0.0
Restaurants 5 étoiles,25,0.0,0.0
Restaurants 5 étoiles,26,0.0,1.0
Restaurants 5 étoiles,27,0.0,0.0
Restaurants 5 étoiles,28,0.0,1.0
Restaurants 5 étoiles,29,1.0,0.0
Restaurants 5 étoiles,30,0.0,1.0
Restaurants 5 étoiles,31,0.0,0.0
Restaurants 5 étoiles,32,0.0,1.0
Restaurants 5 étoiles,33,0.0,1.0
Restaurants 5 étoiles,34,0.0,1.0
Restaurants 5 étoiles,35,0.0,0.0
Restaurants 5 étoiles,36,0.0,0.0
Restaurants 5 étoiles,37,0.0,1.0
Restaurants 5 étoiles,38,0.0,0.0
Restaurants 5 étoiles,39,0.0,0.0
Restaurants 5 étoiles,40,0.0,1.0
Restaurants 5 étoiles,41,0.0,0.0
Restaurants 5 étoiles,42,0.0,1.0
Restaurants 5 étoiles,43,0.0,0.0
Restaurants 5 étoiles,44,0.0,0.0
Restaurants 5 étoiles,45,0.0,0.0
Restaurants 5 étoiles,46,0.0,1.0
Restaurants 5 étoiles,47,0.0,1.0
Restaurants 5 étoiles,48,3.0,0.0
Restaurants 5 étoiles,49,0.0,0.0
Restaurants 5 étoiles,50,0.0,0.0
Avis sur les restaurants à Paris,1,0.0,0.0
Avis sur les restaurants à Paris,2,0.0,0.0
Avis sur les restaurants à Paris,3,0.0,0.0
Avis sur les restaurants à Paris,4,0.0,0.0
Avis sur les restaurants à Paris,5,0.0,0.0
Avis sur les restaurants à Paris,6,0.0,0.0
Avis sur les restaurants à Paris,7,0.0,1.0
Avis sur les restaurants à Paris,8,0.0,0.0
Avis sur les restaurants à Paris,9,0.0,1.0
Avis sur les restaurants à Paris,10,0.0,1.0
Avis sur les restaurants à Paris,11,0.0,1.0
Avis sur les restaurants à Paris,12,0.0,1.0
Avis sur les restaurants à Paris,13,0.0,1.0
Avis sur les restaurants à Paris,14,0.0,0.0
Avis sur les restaurants à Paris,15,0.0,0.0
Avis sur les restaurants à Paris,16,0.0,1.0
Avis sur les restaurants à Paris,17,0.0,1.0
Avis sur les restaurants à Paris,18,0.0,0.0
Avis sur les restaurants à Paris,19,0.0,0.0
Avis sur les restaurants à Paris,20,0.0,0.0
Avis sur les restaurants à Paris,21,0.0,0.0
Avis sur les restaurants à Paris,22,0.0,1.0
Avis sur les restaurants à Paris,23,0.0,0.0
Avis sur les restaurants à Paris,24,0.0,0.0
Avis sur les restaurants à Paris,25,0.0,0.0
Avis sur les restaurants à Paris,26,0.0,0.0
Avis sur les restaurants à Paris,27,0.0,0.0
Avis sur les restaurants à Paris,28,0.0,0.0
Avis sur les restaurants à Paris,29,0.0,0.0
Avis sur les restaurants à Paris,30,,
Avis sur les restaurants à Paris,31,,
Avis sur les restaurants à Paris,32,,
Avis sur les restaurants à Paris,33,,
Avis sur les restaurants à Paris,34,,
Avis sur les restaurants à Paris,35,,
Avis sur les restaurants à Paris,36,,
Avis sur les restaurants à Paris,37,,
Avis sur les restaurants à Paris,38,,
Avis sur les restaurants à Paris,39,,
Avis sur les restaurants à Paris,40,,
Avis sur les restaurants à Paris,41,,
Avis sur les restaurants à Paris,42,,
Avis sur les restaurants à Paris,43,,
Avis sur les restaurants à Paris,44,,
Avis sur les restaurants à Paris,45,,
Avis sur les restaurants à Paris,46,,
Avis sur les restaurants à Paris,47,,
Avis sur les restaurants à Paris,48,,
Avis sur les restaurants à Paris,49,,
Restaurants Michelin,1,0.0,0.0
Restaurants Michelin,2,0.0,0.0
Restaurants Michelin,3,0.0,0.0
Restaurants Michelin,4,0.0,0.0
Restaurants Michelin,5,0.0,1.0
Restaurants Michelin,6,0.0,0.0
Restaurants Michelin,7,0.0,1.0
Restaurants Michelin,8,0.0,0.0
Restaurants Michelin,9,0.0,1.0
Restaurants Michelin,10,0.0,0.0
Restaurants Michelin,11,1.0,0.0
Restaurants Michelin,12,0.0,0.0
Restaurants Michelin,13,0.0,1.0
Restaurants Michelin,14,1.0,0.0
Restaurants Michelin,15,0.0,1.0
Restaurants Michelin,16,,
Restaurants Michelin,17,0.0,0.0
Restaurants Michelin,18,0.0,0.0
Restaurants Michelin,19,0.0,1.0
Restaurants Michelin,20,0.0,0.0
Restaurants Michelin,21,,
Restaurants Michelin,22,0.0,0.0
Restaurants Michelin,23,0.0,0.0
Restaurants Michelin,24,0.0,1.0
Restaurants Michelin,25,0.0,0.0
Restaurants Michelin,26,0.0,0.0
Restaurants Michelin,27,0.0,1.0
Restaurants Michelin,28,2.0,0.0
Restaurants Michelin,29,0.0,0.0
Restaurants Michelin,30,0.0,0.0
Restaurants Michelin,31,0.0,0.0
Restaurants Michelin,32,0.0,0.0
Restaurants Michelin,33,1.0,0.0
Restaurants Michelin,34,0.0,1.0
Restaurants Michelin,35,0.0,0.0
Restaurants Michelin,36,0.0,0.0
Restaurants Michelin,37,0.0,1.0
Restaurants Michelin,38,0.0,1.0
Restaurants Michelin,39,0.0,0.0
Restaurants Michelin,40,0.0,0.0
Restaurants Michelin,41,0.0,0.0
Restaurants Michelin,42,1.0,0.0
Restaurants Michelin,43,0.0,0.0
Restaurants Michelin,44,0.0,0.0
Restaurants Michelin,45,0.0,0.0
Restaurants Michelin,46,0.0,0.0
Restaurants Michelin,47,0.0,1.0
Évaluations des restaurants à New York,1,0.0,0.0
Évaluations des restaurants à New York,2,0.0,0.0
Évaluations des restaurants à New York,3,0.0,1.0
Évaluations des restaurants à New York,4,0.0,0.0
Évaluations des restaurants à New York,5,1.0,0.0
Évaluations des restaurants à New York,6,0.0,1.0
Évaluations des restaurants à New York,7,0.0,0.0
Évaluations des restaurants à New York,8,0.0,0.0
Évaluations des restaurants à New York,9,0.0,1.0
Évaluations des restaurants à New York,10,0.0,0.0
Évaluations des restaurants à New York,11,0.0,0.0
Évaluations des restaurants à New York,12,0.0,0.0
Évaluations des restaurants à New York,13,0.0,1.0
Évaluations des restaurants à New York,14,0.0,0.0
Évaluations des restaurants à New York,15,0.0,0.0
Évaluations des restaurants à New York,16,0.0,0.0
Évaluations des restaurants à New York,17,0.0,0.0
Évaluations des restaurants à New York,18,0.0,0.0
Évaluations des restaurants à New York,19,3.0,0.0
Évaluations des restaurants à New York,20,0.0,0.0
Évaluations des restaurants à New York,21,0.0,0.0
Évaluations des restaurants à New York,22,0.0,1.0
Évaluations des restaurants à New York,23,0.0,0.0
Évaluations des restaurants à New York,24,12.0,1.0
Évaluations des restaurants à New York,25,0.0,1.0
Évaluations des restaurants à New York,26,0.0,0.0
Évaluations des restaurants à New York,27,0.0,0.0
Évaluations des restaurants à New York,28,0.0,1.0
Évaluations des restaurants à New York,29,0.0,0.0
Évaluations des restaurants à New York,30,0.0,0.0
Évaluations des restaurants à New York,31,0.0,0.0
Évaluations des restaurants à New York,32,0.0,1.0
Évaluations des restaurants à New York,33,0.0,0.0
Évaluations des restaurants à New York,34,0.0,1.0
Évaluations des restaurants à New York,35,0.0,1.0
Évaluations des restaurants à New York,36,0.0,0.0
Évaluations des restaurants à New York,37,1.0,0.0
Évaluations des restaurants à New York,38,0.0,0.0
Évaluations des restaurants à New York,39,0.0,0.0
Évaluations des restaurants à New York,40,0.0,0.0
Évaluations des restaurants à New York,41,0.0,0.0
Évaluations des restaurants à New York,42,0.0,0.0
Évaluations des restaurants à New York,43,2.0,0.0
Évaluations des restaurants à New York,44,0.0,0.0
Évaluations des restaurants à New York,45,0.0,0.0
Évaluations des restaurants à New York,46,0.0,1.0
Évaluations des restaurants à New York,47,0.0,0.0
Évaluations des restaurants à New York,48,0.0,0.0
Évaluations des restaurants à New York,49,0.0,0.0
Restaurants végétaliens,1,0.0,0.0
Restaurants végétaliens,2,0.0,1.0
Restaurants végétaliens,3,0.0,0.0
Restaurants végétaliens,4,0.0,0.0
Restaurants végétaliens,5,0.0,0.0
Restaurants végétaliens,6,0.0,0.0
Restaurants végétaliens,7,0.0,0.0
Restaurants végétaliens,8,0.0,1.0
Restaurants végétaliens,9,0.0,1.0
Restaurants végétaliens,10,0.0,0.0
Restaurants végétaliens,11,0.0,0.0
Restaurants végétaliens,12,0.0,0.0
Restaurants végétaliens,13,0.0,1.0
Restaurants végétaliens,14,0.0,1.0
Restaurants végétaliens,15,0.0,0.0
Restaurants végétaliens,16,0.0,0.0
Restaurants végétaliens,17,0.0,1.0
