Query,Position,YouTube Videos,Other Videos
Bases du SEO,1,0.0,1.0
Bases du SEO,2,1.0,0.0
Bases du SEO,3,0.0,1.0
Bases du SEO,4,1.0,0.0
Bases du SEO,5,1.0,0.0
Bases du SEO,6,0.0,0.0
Bases du SEO,7,0.0,1.0
Bases du SEO,8,0.0,0.0
Bases du SEO,9,2.0,0.0
Bases du SEO,10,0.0,0.0
Bases du SEO,11,1.0,0.0
Bases du SEO,12,1.0,0.0
Bases du SEO,13,0.0,0.0
Bases du SEO,14,0.0,1.0
Bases du SEO,15,0.0,0.0
Bases du SEO,16,0.0,0.0
Bases du SEO,17,0.0,0.0
Bases du SEO,18,0.0,1.0
Bases du SEO,19,0.0,1.0
Bases du SEO,20,0.0,0.0
Bases du SEO,21,0.0,0.0
Bases du SEO,22,0.0,1.0
Bases du SEO,23,0.0,1.0
Bases du SEO,24,2.0,0.0
Bases du SEO,25,0.0,0.0
Bases du SEO,26,0.0,0.0
Bases du SEO,27,1.0,0.0
Bases du SEO,28,0.0,0.0
Bases du SEO,29,2.0,0.0
Bases du SEO,30,1.0,0.0
Bases du SEO,31,0.0,0.0
Bases du SEO,32,2.0,0.0
Bases du SEO,33,0.0,0.0
Bases du SEO,34,0.0,0.0
Bases du SEO,35,0.0,1.0
Bases du SEO,36,0.0,0.0
Bases du SEO,37,0.0,0.0
Bases du SEO,38,3.0,0.0
Bases du SEO,39,0.0,0.0
Bases du SEO,40,0.0,0.0
Bases du SEO,41,0.0,0.0
Bases du SEO,42,0.0,0.0
Bases du SEO,43,0.0,0.0
Bases du SEO,44,0.0,0.0
Bases du SEO,45,0.0,0.0
Bases du SEO,46,0.0,1.0
Bases du SEO,47,0.0,0.0
Bases du SEO,48,1.0,0.0
Tutoriel SEO,1,0.0,1.0
Tutoriel SEO,2,1.0,0.0
Tutoriel SEO,3,0.0,1.0
Tutoriel SEO,4,1.0,0.0
Tutoriel SEO,5,0.0,0.0
Tutoriel SEO,6,0.0,1.0
Tutoriel SEO,7,0.0,0.0
Tutoriel SEO,8,0.0,0.0
Tutoriel SEO,9,0.0,0.0
Tutoriel SEO,10,0.0,0.0
Tutoriel SEO,11,0.0,0.0
Tutoriel SEO,12,0.0,0.0
Tutoriel SEO,13,0.0,0.0
Tutoriel SEO,14,0.0,0.0
Tutoriel SEO,15,0.0,0.0
