Query,Position,YouTube Videos,Other Videos
Les mathématiques dans l'architecture,1,0.0,0.0
Les mathématiques dans l'architecture,2,0.0,0.0
Les mathématiques dans l'architecture,3,0.0,0.0
Les mathématiques dans l'architecture,4,0.0,0.0
Les mathématiques dans l'architecture,5,0.0,0.0
Les mathématiques dans l'architecture,6,0.0,0.0
Les mathématiques dans l'architecture,7,0.0,0.0
Les mathématiques dans l'architecture,8,0.0,0.0
Les mathématiques dans l'architecture,9,0.0,0.0
Les mathématiques dans l'architecture,10,0.0,0.0
Les mathématiques dans l'architecture,11,0.0,0.0
Les mathématiques dans l'architecture,12,0.0,0.0
Les mathématiques dans l'architecture,13,0.0,0.0
Les mathématiques dans l'architecture,14,0.0,0.0
Les mathématiques dans l'architecture,15,0.0,1.0
Les mathématiques dans l'architecture,16,0.0,0.0
Les mathématiques dans l'architecture,17,0.0,0.0
Les mathématiques dans l'architecture,18,0.0,0.0
Les mathématiques dans l'architecture,19,0.0,0.0
Les mathématiques dans l'architecture,20,0.0,0.0
Les mathématiques dans l'architecture,21,0.0,0.0
Les mathématiques dans l'architecture,22,0.0,0.0
Les mathématiques dans l'architecture,23,0.0,0.0
Les mathématiques dans l'architecture,24,0.0,0.0
Les mathématiques dans l'architecture,25,0.0,0.0
Les mathématiques dans l'architecture,26,1.0,0.0
Les mathématiques dans l'architecture,27,0.0,0.0
Les mathématiques dans l'architecture,28,0.0,0.0
Les mathématiques dans l'architecture,29,0.0,0.0
Les mathématiques dans l'architecture,30,0.0,1.0
Les mathématiques dans l'architecture,31,0.0,0.0
Les mathématiques dans l'architecture,32,0.0,1.0
Les mathématiques dans l'architecture,33,0.0,0.0
Les mathématiques dans l'architecture,34,0.0,0.0
Les mathématiques dans l'architecture,35,0.0,0.0
Les mathématiques dans l'architecture,36,0.0,0.0
Les mathématiques dans l'architecture,37,0.0,0.0
Les mathématiques dans l'architecture,38,,
Les mathématiques dans l'architecture,39,,
Les mathématiques dans l'architecture,40,,
Les mathématiques dans l'architecture,41,,
Les mathématiques dans l'architecture,42,,
Les mathématiques dans l'architecture,43,,
Les mathématiques dans l'architecture,44,,
Les mathématiques dans l'architecture,45,,
Les mathématiques dans l'architecture,46,,
Les mathématiques dans l'architecture,47,,
Les mathématiques dans l'architecture,48,,
Mathématiques pour la planification financière,1,0.0,0.0
Mathématiques pour la planification financière,2,0.0,1.0
Mathématiques pour la planification financière,3,0.0,0.0
Mathématiques pour la planification financière,4,0.0,0.0
Mathématiques pour la planification financière,5,0.0,0.0
Mathématiques pour la planification financière,6,0.0,0.0
Mathématiques pour la planification financière,7,0.0,0.0
Mathématiques pour la planification financière,8,0.0,0.0
Mathématiques pour la planification financière,9,0.0,0.0
Mathématiques pour la planification financière,10,0.0,1.0
Mathématiques pour la planification financière,11,0.0,0.0
Mathématiques pour la planification financière,12,0.0,0.0
Mathématiques pour la planification financière,13,0.0,0.0
Mathématiques pour la planification financière,14,0.0,0.0
Mathématiques pour la planification financière,15,0.0,0.0
Mathématiques pour la planification financière,16,1.0,0.0
Mathématiques pour la planification financière,17,0.0,0.0
Mathématiques pour la planification financière,18,0.0,0.0
Mathématiques pour la planification financière,19,0.0,0.0
Mathématiques pour la planification financière,20,0.0,0.0
Mathématiques pour la planification financière,21,0.0,0.0
Mathématiques pour la planification financière,22,0.0,0.0
Mathématiques pour la planification financière,23,0.0,1.0
Mathématiques pour la planification financière,24,0.0,0.0
Mathématiques pour la planification financière,25,0.0,0.0
Mathématiques pour la planification financière,26,0.0,0.0
Mathématiques pour la planification financière,27,0.0,0.0
Mathématiques pour la planification financière,28,0.0,0.0
Mathématiques pour la planification financière,29,0.0,0.0
Mathématiques pour la planification financière,30,0.0,0.0
Mathématiques pour la planification financière,31,0.0,0.0
Mathématiques pour la planification financière,32,0.0,0.0
Mathématiques pour la planification financière,33,0.0,1.0
Mathématiques pour la planification financière,34,0.0,0.0
Mathématiques pour la planification financière,35,0.0,0.0
Mathématiques pour la planification financière,36,0.0,0.0
Mathématiques pour la planification financière,37,,
Mathématiques pour la planification financière,38,,
Mathématiques pour la planification financière,39,,
Mathématiques pour la planification financière,40,,
Mathématiques pour la planification financière,41,,
Mathématiques pour la planification financière,42,,
Mathématiques pour la planification financière,43,,
Mathématiques pour la planification financière,44,,
Mathématiques pour la planification financière,45,,
Mathématiques pour la planification financière,46,,
Histoire des mathématiques,1,0.0,0.0
Histoire des mathématiques,2,,
Histoire des mathématiques,3,0.0,0.0
Histoire des mathématiques,4,0.0,1.0
Histoire des mathématiques,5,0.0,0.0
Histoire des mathématiques,6,0.0,1.0
Histoire des mathématiques,7,0.0,0.0
Histoire des mathématiques,8,0.0,0.0
Histoire des mathématiques,9,0.0,0.0
Histoire des mathématiques,10,0.0,0.0
Histoire des mathématiques,11,0.0,1.0
Histoire des mathématiques,12,1.0,0.0
Histoire des mathématiques,13,0.0,0.0
Histoire des mathématiques,14,0.0,1.0
Histoire des mathématiques,15,0.0,1.0
Histoire des mathématiques,16,0.0,0.0
Histoire des mathématiques,17,0.0,1.0
Histoire des mathématiques,18,0.0,0.0
Histoire des mathématiques,19,0.0,1.0
Histoire des mathématiques,20,0.0,0.0
Histoire des mathématiques,21,0.0,0.0
Histoire des mathématiques,22,,
Histoire des mathématiques,23,0.0,0.0
Histoire des mathématiques,24,0.0,0.0
Histoire des mathématiques,25,0.0,1.0
Histoire des mathématiques,26,0.0,0.0
Histoire des mathématiques,27,0.0,0.0
Histoire des mathématiques,28,0.0,0.0
Histoire des mathématiques,29,0.0,0.0
Histoire des mathématiques,30,0.0,0.0
Histoire des mathématiques,31,0.0,1.0
Histoire des mathématiques,32,0.0,0.0
Histoire des mathématiques,33,0.0,0.0
Histoire des mathématiques,34,0.0,1.0
Histoire des mathématiques,35,0.0,0.0
Histoire des mathématiques,36,0.0,0.0
Histoire des mathématiques,37,0.0,0.0
Histoire des mathématiques,38,0.0,0.0
Histoire des mathématiques,39,0.0,1.0
Histoire des mathématiques,40,0.0,1.0
Histoire des mathématiques,41,,
Histoire des mathématiques,42,,
Histoire des mathématiques,43,,
Histoire des mathématiques,44,,
Histoire des mathématiques,45,,
Histoire des mathématiques,46,,
Histoire des mathématiques,47,,
