Query,Position,YouTube Videos,Other Videos
Statistiques gouvernementales des États-Unis,1,,
Statistiques gouvernementales des États-Unis,2,0.0,0.0
Statistiques gouvernementales des États-Unis,3,0.0,0.0
Statistiques gouvernementales des États-Unis,4,0.0,0.0
Statistiques gouvernementales des États-Unis,5,0.0,1.0
Statistiques gouvernementales des États-Unis,6,0.0,0.0
Statistiques gouvernementales des États-Unis,7,0.0,1.0
Statistiques gouvernementales des États-Unis,8,0.0,1.0
Statistiques gouvernementales des États-Unis,9,0.0,0.0
Statistiques gouvernementales des États-Unis,10,,
Statistiques gouvernementales des États-Unis,11,0.0,0.0
Statistiques gouvernementales des États-Unis,12,0.0,0.0
Statistiques gouvernementales des États-Unis,13,0.0,0.0
Statistiques gouvernementales des États-Unis,14,0.0,0.0
Statistiques gouvernementales des États-Unis,15,0.0,0.0
Statistiques gouvernementales des États-Unis,16,0.0,0.0
Statistiques gouvernementales des États-Unis,17,0.0,1.0
Statistiques gouvernementales des États-Unis,18,0.0,1.0
Statistiques gouvernementales des États-Unis,19,0.0,0.0
Statistiques gouvernementales des États-Unis,20,0.0,1.0
Statistiques gouvernementales des États-Unis,21,0.0,0.0
Statistiques gouvernementales des États-Unis,22,0.0,0.0
Statistiques gouvernementales des États-Unis,23,0.0,0.0
Statistiques gouvernementales des États-Unis,24,0.0,1.0
Statistiques gouvernementales des États-Unis,25,0.0,0.0
Statistiques gouvernementales des États-Unis,26,0.0,0.0
Statistiques gouvernementales des États-Unis,27,0.0,1.0
Statistiques gouvernementales des États-Unis,28,0.0,1.0
Statistiques gouvernementales des États-Unis,29,0.0,1.0
Statistiques gouvernementales des États-Unis,30,0.0,1.0
Statistiques gouvernementales des États-Unis,31,0.0,1.0
Statistiques gouvernementales des États-Unis,32,0.0,0.0
Statistiques gouvernementales des États-Unis,33,0.0,0.0
Statistiques gouvernementales des États-Unis,34,0.0,1.0
Statistiques gouvernementales des États-Unis,35,1.0,0.0
Statistiques gouvernementales des États-Unis,36,2.0,0.0
Statistiques gouvernementales des États-Unis,37,0.0,0.0
Statistiques gouvernementales des États-Unis,38,0.0,1.0
Statistiques gouvernementales des États-Unis,39,0.0,1.0
Statistiques gouvernementales des États-Unis,40,0.0,0.0
Statistiques gouvernementales des États-Unis,41,0.0,0.0
Statistiques gouvernementales des États-Unis,42,0.0,0.0
Statistiques gouvernementales des États-Unis,43,0.0,1.0
Statistiques gouvernementales des États-Unis,44,0.0,0.0
Statistiques gouvernementales des États-Unis,45,0.0,0.0
Statistiques gouvernementales des États-Unis,46,0.0,1.0
Statistiques gouvernementales des États-Unis,47,0.0,0.0
Statistiques gouvernementales des États-Unis,48,0.0,1.0
Statistiques gouvernementales des États-Unis,49,0.0,0.0
Sources de données fédérales,1,0.0,1.0
Sources de données fédérales,2,0.0,0.0
Sources de données fédérales,3,0.0,0.0
Sources de données fédérales,4,0.0,0.0
Sources de données fédérales,5,0.0,0.0
Sources de données fédérales,6,0.0,0.0
Sources de données fédérales,7,0.0,2.0
Sources de données fédérales,8,0.0,0.0
Sources de données fédérales,9,0.0,1.0
Sources de données fédérales,10,0.0,1.0
Sources de données fédérales,11,0.0,0.0
Sources de données fédérales,12,0.0,1.0
Sources de données fédérales,13,0.0,1.0
Sources de données fédérales,14,0.0,1.0
Sources de données fédérales,15,0.0,0.0
Sources de données fédérales,16,0.0,0.0
Sources de données fédérales,17,0.0,0.0
Sources de données fédérales,18,0.0,0.0
Sources de données fédérales,19,0.0,0.0
Sources de données fédérales,20,0.0,0.0
Sources de données fédérales,21,0.0,0.0
Sources de données fédérales,22,,
Sources de données fédérales,23,0.0,0.0
Sources de données fédérales,24,0.0,1.0
Sources de données fédérales,25,0.0,1.0
Sources de données fédérales,26,0.0,0.0
Sources de données fédérales,27,0.0,0.0
Sources de données fédérales,28,0.0,1.0
Sources de données fédérales,29,0.0,1.0
Sources de données fédérales,30,0.0,0.0
